date,aircraftid,mean_value,timeid,flighthours,delayedminutes,flightcycles,subsystem,aircraftregistration,starttime,date_diff,operation_interruption
2013-03-19,XY-IOW,23.68627951964626,2013-03-19,3.950000000000000000,3.000000000000000000,1.000000000000000000,,,,,false
2014-07-24,XY-WYW,27.554789575311723,2014-07-24,1.350000000000000000,39.000000000000000000,1.000000000000000000,,,,,false
2016-09-11,XY-OZX,65.23547309770747,2016-09-11,3.933333333333330000,4.000000000000000000,1.000000000000000000,,,,,false
2012-03-08,XY-PGD,25.66873807137648,2012-03-08,1.783333333333330000,13.000000000000000000,1.000000000000000000,,,,,false
2015-11-27,XY-IOW,64.71411157541756,2015-11-27,1.350000000000000000,39.000000000000000000,2.000000000000000000,,,,,false
2012-11-12,XY-YBT,28.266518306900977,2012-11-12,1.433333333333330000,34.000000000000000000,1.000000000000000000,,,,,false
2013-09-20,XY-POE,23.509724572454886,2013-09-20,3.400000000000000000,36.000000000000000000,1.000000000000000000,,,,,false
2014-11-04,XY-BDC,29.985507696386744,2014-11-04,4.566666666666670000,26.000000000000000000,2.000000000000000000,,,,,false
2013-09-16,XY-KWW,60.86846882795749,2013-09-16,3.583333333333330000,25.000000000000000000,1.000000000000000000,,,,,false
2012-05-04,XY-BDC,59.987848895937624,2012-05-04,1.550000000000000000,27.000000000000000000,1.000000000000000000,,,,,false
2013-03-19,XY-FFT,29.527657200113094,2013-03-19,0.783333333333333000,13.000000000000000000,1.000000000000000000,,,,,false
2013-09-20,XY-NIO,25.971086422572096,2013-09-20,0.500000000000000000,30.000000000000000000,1.000000000000000000,,,,,false
2012-06-14,XY-OQQ,27.05931626946607,2012-06-14,5.583333333333330000,25.000000000000000000,2.000000000000000000,,,,,false
2013-08-01,XY-BDC,61.832595652763025,2013-08-01,3.550000000000000000,27.000000000000000000,1.000000000000000000,,,,,false
2013-03-19,XY-WYW,25.48325534458731,2013-03-19,3.733333333333330000,16.000000000000000000,1.000000000000000000,,,,,false
2010-11-17,XY-SFN,28.788555766874538,2010-11-17,0.866666666666667000,8.000000000000000000,1.000000000000000000,,,,,false
2012-06-19,XY-PGD,27.80874321067704,2012-06-19,1.533333333333330000,28.000000000000000000,1.000000000000000000,,,,,false
2013-09-13,XY-KWW,63.174045282893786,2013-09-13,0.733333333333333000,16.000000000000000000,1.000000000000000000,,,,,false
2012-03-08,XY-YBT,30.234835608266334,2012-03-08,1.616666666666670000,23.000000000000000000,2.000000000000000000,,,,,false
2012-10-12,XY-IOW,61.024066834433704,2012-10-12,2.833333333333330000,10.000000000000000000,1.000000000000000000,,,,,false
2015-10-24,XY-FFT,23.382293429341164,2015-10-24,3.400000000000000000,36.000000000000000000,1.000000000000000000,,,,,false
2015-11-28,XY-YJU,25.066078167416453,2015-11-28,6.250000000000000000,45.000000000000000000,2.000000000000000000,,,,,false
2016-07-30,XY-FFT,27.018201689639195,2016-07-30,4.950000000000000000,63.000000000000000000,2.000000000000000000,,,,,false
2011-06-21,XY-WYW,28.111333735642866,2011-06-21,4.716666666666670000,17.000000000000000000,2.000000000000000000,,,,,false
2015-07-17,XY-YBT,26.37556302017949,2015-07-17,3.400000000000000000,36.000000000000000000,1.000000000000000000,,,,,false
2012-06-19,XY-FFT,29.433888216066592,2012-06-19,1.566666666666670000,26.000000000000000000,1.000000000000000000,,,,,false
2010-09-23,XY-WYW,25.58681958629386,2010-09-23,2.433333333333330000,34.000000000000000000,1.000000000000000000,,,,,false
2013-07-04,XY-POE,27.82533781210771,2013-07-04,3.383333333333330000,37.000000000000000000,1.000000000000000000,,,,,false
2012-05-05,XY-LOL,30.26092901334631,2012-05-05,1.533333333333330000,28.000000000000000000,1.000000000000000000,,,,,false
2015-11-28,XY-NIO,27.541785163425235,2015-11-28,5.333333333333330000,40.000000000000000000,2.000000000000000000,,,,,false
2013-03-17,XY-RRQ,24.481174602671945,2013-03-17,3.550000000000000000,27.000000000000000000,1.000000000000000000,,,,,false
2016-07-24,XY-PGD,61.67321507648149,2016-07-24,2.433333333333330000,34.000000000000000000,1.000000000000000000,,,,,false
2015-06-01,XY-YCV,26.411537586060966,2015-06-01,3.733333333333330000,16.000000000000000000,1.000000000000000000,,,,,false
2013-10-08,XY-IOW,25.788545333765786,2013-10-08,3.616666666666670000,23.000000000000000000,1.000000000000000000,,,,,false
2013-10-05,XY-RRQ,63.44717881609743,2013-10-05,2.716666666666670000,17.000000000000000000,1.000000000000000000,,,,,false
2012-06-19,XY-YCV,29.35802479794627,2012-06-19,0.733333333333333000,16.000000000000000000,1.000000000000000000,,,,,false
2014-02-15,XY-JQE,61.8538358104594,2014-02-15,3.350000000000000000,39.000000000000000000,1.000000000000000000,,,,,false
2014-02-18,XY-GOJ,24.403076101956252,2014-02-18,1.416666666666670000,35.000000000000000000,1.000000000000000000,,,,,false
2015-06-01,XY-GOJ,22.54178516342524,2015-06-01,3.400000000000000000,36.000000000000000000,1.000000000000000000,,,,,false
2012-03-01,XY-LOL,64.1163092359453,2012-03-01,3.866666666666670000,8.000000000000000000,1.000000000000000000,,,,,false
